綜合評分,日文店名,英文店名,Blog
4.04,ヴィンチェロ,Vincero,https://tabelog.com/tw/tokyo/A1304/A130402/13004299/
4.04,ル・ジャルダン・デ・サヴール,Le jardin des saveurs,https://tabelog.com/tw/tokyo/A1301/A130101/13002341/
4.04,Crony,Crony,https://tabelog.com/tw/tokyo/A1307/A130701/13202768/
4.04,リストランテ ペガソ,RISTORANTE PEGASO,https://tabelog.com/tw/tokyo/A1307/A130703/13152248/
4.04,津の守坂 小柴,tsunokamizakakoshiba,https://tabelog.com/tw/tokyo/A1309/A130903/13200286/
4.04,銀座ふじやま,Ginzafujiyama,https://tabelog.com/tw/tokyo/A1301/A130101/13232735/
4.03,トゥールダルジャン 東京,TOUR D'ARGENT,https://tabelog.com/tw/tokyo/A1308/A130803/13000288/
4.03,すし処 宮葉,Miyaba,https://tabelog.com/tw/tokyo/A1314/A131401/13019499/
4.03,トロワフレーシュ,TROIS FLECHES,https://tabelog.com/tw/tokyo/A1301/A130103/13130978/
4.02,リストランテ ラ・バリック トウキョウ,Ristorante La Barrique Tokyo,https://tabelog.com/tw/tokyo/A1309/A130905/13044652/
4.02,レストラン アラジン,Restaurant ALADDIN,https://tabelog.com/tw/tokyo/A1307/A130703/13004454/
4.02,ミモザ,Mimosa,https://tabelog.com/tw/tokyo/A1306/A130602/13197047/
4.02,AMOUR,AMOUR,https://tabelog.com/tw/tokyo/A1303/A130302/13142028/
4.02,GINZA JOTAKI,GINZA JOTAKI,https://tabelog.com/tw/tokyo/A1301/A130101/13217960/
4.01,マダム・トキ,Madame Toki,https://tabelog.com/tw/tokyo/A1303/A130303/13001707/
4.01,銀座 レカン,L'ecrin,https://tabelog.com/tw/tokyo/A1301/A130101/13002444/
4.01,インカント,Incanto,https://tabelog.com/tw/tokyo/A1307/A130703/13043684/
4.01,すし家 一柳,Ichiyanagi,https://tabelog.com/tw/tokyo/A1301/A130101/13156961/
4.01,赤坂 きた福,Akasaka Kitafuku,https://tabelog.com/tw/tokyo/A1308/A130801/13149065/
4.00,ラトリエ ドゥ プレジール,L'atelier de Plaisir,https://tabelog.com/tw/tokyo/A1318/A131814/13050412/
4.00,スーツァン・レストラン陳 渋谷店,Sutsunresutoranchin,https://tabelog.com/tw/tokyo/A1303/A130301/13001909/
4.00,鳥さわ,Torisawa,https://tabelog.com/tw/tokyo/A1312/A131202/13135959/
4.00,サンルーカルバー,Sanlucar BAR,https://tabelog.com/tw/tokyo/A1309/A130905/13112228/
4.00,鳥長,Toricho,https://tabelog.com/tw/tokyo/A1321/A132102/13058892/
4.00,TexturA,TexturA,https://tabelog.com/tw/tokyo/A1301/A130102/13232958/
4.00,白金台こばやし,shirokanedaikobayashi,https://tabelog.com/tw/tokyo/A1303/A130302/13162454/
4.00,SECRETO,SECRETO,https://tabelog.com/tw/tokyo/A1309/A130905/13213559/
4.00,重よし,Shigeyoshi,https://tabelog.com/tw/tokyo/A1306/A130601/13001153/
3.99,焼肉 銀座コバウ,GINZA COBAU,https://tabelog.com/tw/tokyo/A1301/A130101/13005008/
3.99,高柿の鮨,Takagakinosushi,https://tabelog.com/tw/tokyo/A1302/A130204/13231297/
3.99,いちかわ,Ichikawa,https://tabelog.com/tw/tokyo/A1316/A131602/13210722/
3.99,野じま,Nojima,https://tabelog.com/tw/tokyo/A1301/A130101/13129640/
3.98,麺尊 RAGE,Mensonreiji,https://tabelog.com/tw/tokyo/A1319/A131907/13178309/
3.98,東京チャイニーズ 一凛,Tokyo Chinese Ichirin,https://tabelog.com/tw/tokyo/A1313/A131301/13153417/
3.98,ICARO miyamoto,ICARO miyamoto,https://tabelog.com/tw/tokyo/A1317/A131701/13050216/
3.98,ラ・ブランシュ,La Blanche,https://tabelog.com/tw/tokyo/A1303/A130301/13002111/
3.98,オステリア・オリエーラ,OSTERIA OLIERA,https://tabelog.com/tw/tokyo/A1304/A130401/13099830/
3.98,アロマフレスカ,Ristorante Aroma-fresca,https://tabelog.com/tw/tokyo/A1301/A130101/13129298/
3.98,Convivio,konvivio,https://tabelog.com/tw/tokyo/A1309/A130901/13149817/
3.98,神楽坂 阿部,kagurazakaabe,https://tabelog.com/tw/tokyo/A1309/A130905/13208287/
3.97,イデミスギノ,HIDEMI SUGINO,https://tabelog.com/tw/tokyo/A1302/A130202/13002285/
3.97,よろにく,Yoroniku,https://tabelog.com/tw/tokyo/A1306/A130602/13042979/
3.97,SPICY CURRY 魯珈,Supaishikareroka,https://tabelog.com/tw/tokyo/A1304/A130404/13203027/
3.97,麺屋 さくら井,Menyasakurai,https://tabelog.com/tw/tokyo/A1320/A132002/13202438/
3.97,PATISSERIE ASAKO IWAYANAGI,Pathisuriasakoiwayanagi,https://tabelog.com/tw/tokyo/A1317/A131715/13189509/
3.97,シュマン,Chemins,https://tabelog.com/tw/tokyo/A1308/A130801/13001336/
3.97,ほっこり中華そば もつけ,Hokkorichuukasobamotsuke,https://tabelog.com/tw/tokyo/A1329/A132904/13192847/
3.97,高太郎,Kotaro,https://tabelog.com/tw/tokyo/A1303/A130301/13123997/
3.97,シェフス,CHEF'S,https://tabelog.com/tw/tokyo/A1304/A130402/13000884/
3.97,ロマンティコ,Romantico,https://tabelog.com/tw/tokyo/A1316/A131602/13021521/
3.97,鮓 村瀬,Murase,https://tabelog.com/tw/tokyo/A1307/A130701/13174475/
3.97,クラフタル,CRAFTALE,https://tabelog.com/tw/tokyo/A1317/A131701/13186719/
3.97,羊SUNRISE,HITSUJI SUNRISE,https://tabelog.com/tw/tokyo/A1307/A130702/13202705/
3.97,鳥田中,Toritanaka,https://tabelog.com/tw/tokyo/A1312/A131203/13208669/
3.97,Takumi,Takumi,https://tabelog.com/tw/tokyo/A1307/A130701/13204624/
3.97,リストランテ センソ,Ristorante Senso,https://tabelog.com/tw/tokyo/A1316/A131602/13193100/
3.97,懐石 辻留,Tsujitome,https://tabelog.com/tw/tokyo/A1308/A130801/13001228/
3.96,尾花,Obana,https://tabelog.com/tw/tokyo/A1324/A132401/13003509/
3.96,パティスリー・パリセヴェイユ,patisserie Paris S'eveille,https://tabelog.com/tw/tokyo/A1317/A131703/13005198/
3.96,MASA’S KITCHEN 恵比寿,MASA'S KITCHEN47,https://tabelog.com/tw/tokyo/A1303/A130302/13054526/
3.96,メゾン・ド・ユーロン,Maison de YULONG,https://tabelog.com/tw/tokyo/A1308/A130801/13002871/
3.96,ラシェット・ブランシュ,L'Assiette Blanche,https://tabelog.com/tw/tokyo/A1316/A131602/13004471/
3.96,オーボンヴュータン 尾山台店,Obonvutan,https://tabelog.com/tw/tokyo/A1317/A131715/13181654/
3.96,ライラ,Lyla,https://tabelog.com/tw/tokyo/A1308/A130801/13156381/
3.96,コントワール ミサゴ,COMPTOIR MISSAGO,https://tabelog.com/tw/tokyo/A1307/A130703/13114321/
3.96,毛利,mouri,https://tabelog.com/tw/tokyo/A1301/A130101/13002661/
3.96,プレヴナンス,Prevenance,https://tabelog.com/tw/tokyo/A1306/A130603/13162493/
3.96,ラ・ファソン 古賀,La facon koga,https://tabelog.com/tw/tokyo/A1318/A131811/13155778/
3.96,ENEKO Tokyo,enekotoukyou,https://tabelog.com/tw/tokyo/A1307/A130701/13212953/
3.96,オルグイユ,L'orgueil,https://tabelog.com/tw/tokyo/A1306/A130603/13192399/
3.96,ダペピ,Dapepi,https://tabelog.com/tw/tokyo/A1323/A132301/13124157/
3.96,サエキ飯店,Saekihanten,https://tabelog.com/tw/tokyo/A1316/A131601/13233311/
3.95,エーグルドゥース,Egurudosu,https://tabelog.com/tw/tokyo/A1305/A130502/13005641/
3.95,玉笑,Tamawarai,https://tabelog.com/tw/tokyo/A1306/A130601/13129390/
3.95,カーザ ヴィニタリア,Casa VINITALIA,https://tabelog.com/tw/tokyo/A1307/A130702/13010456/
3.95,らぁ麺 すぎ本,Ramensugimoto,https://tabelog.com/tw/tokyo/A1321/A132104/13163409/
3.95,石ばし,Ishibashi,https://tabelog.com/tw/tokyo/A1309/A130905/13003531/
3.95,ラール・エ・ラ・マニエール,Lart et la maniere,https://tabelog.com/tw/tokyo/A1301/A130101/13095732/
3.95,天冨良 よこ田,Yokota,https://tabelog.com/tw/tokyo/A1307/A130702/13001340/
3.95,銀座 テンダー,Ginzatenda,https://tabelog.com/tw/tokyo/A1301/A130101/13002618/
